CT&人力配置汇总表,,,,,,,,,,,,,,,,,,,,,,,,
P/N,Line,Assembly Line,,,Piston,,,Cartridge,,,Washing Machine,,,MGU,,,AA,,Customer,Statistic Group,Vehicle,Channel,Product Description,
,,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,Machine Station,CT,OP,,,,,,
0204L6932598H,Line2,9,19,22,,,,,,,,,,,,,,,GAC,ZOHe 60,A56,OEM,?60 (x) ,
0204L6932698H,Line2,9,19,22,,,,,,,,,,,,,,,GAC,ZOHe 60,A56,OEM,?60 (x) ,
0204L7737098H,Line2,9,19,22,,,,,,,,,,,,,,,GAC,ZOHe,GAC_AL,OEM,?51 (x) Cast Iron,
0204L7737198H,Line2,9,19,22,,,,,,,,,,,,,,,GAC,ZOHe,GAC_AL,OEM,?51 (x) Cast Iron,
0204L77735,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,GAC,ZOHe+APB-Mi Gen2,A30-1,OEM,,
0204L77736,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,GAC,ZOHe+APB-Mi Gen2,A30-1,OEM,,
0204L77735,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,GAC,ZOHe+APB-Mi Gen2,A30-1,OEM,,
0204L77736,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,GAC,ZOHe+APB-Mi Gen2,A30-1,OEM,,
0204L61575,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Emgrand,ZOHe+APB-Mi gen1,FE-5,OEM,?38 (266x12) Cast Iron,
0204L61576,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Emgrand,ZOHe+APB-Mi gen1,FE-5,OEM,?38 (266x12) Cast Iron,
0204L61575,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Emgrand,ZOHe+APB-Mi gen1,FE-5,OEM,?38 (266x12) Cast Iron,
0204L61576,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Emgrand,ZOHe+APB-Mi gen1,FE-5,OEM,?38 (266x12) Cast Iron,
0204L608922Y8,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Emgrand,ZOHe+APB-Mi gen1,FE-1 HA,OEM,?38 (266x12) Cast Iron,
0204L608932Y8,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Emgrand,ZOHe+APB-Mi gen1,FE-1 HA,OEM,?38 (266x12) Cast Iron,
